337, Current Cost:270.16560227349623, Best Cost:240.27532738320872
338, Current Cost:270.16560227349623, Best Cost:240.27532738320872
339, Current Cost:247.60378451014972, Best Cost:240.27532738320872
340, Current Cost:270.16560227349623, Best Cost:240.27532738320872
341, Current Cost:270.16560227349623, Best Cost:240.27532738320872
342, Current Cost:240.27532738320872, Best Cost:240.27532738320872
343, Current Cost:247.60378451014972, Best Cost:240.27532738320872
344, Current Cost:270.16560227349623, Best Cost:240.27532738320872
345, Current Cost:240.27532738320872, Best Cost:240.27532738320872
346, Current Cost:240.27532738320872, Best Cost:240.27532738320872
347, Current Cost:247.60378451014972, Best Cost:240.27532738320872
348, Current Cost:270.16560227349623, Best Cost:240.27532738320872
349, Current Cost:247.60378451014972, Best Cost:240.27532738320872
350, Current Cost:247.60378451014972, Best Cost:240.27532738320872
351, Current Cost:270.1656022734962, Best Cost:240.27532738320872
352, Current Cost:270.1656022734962, Best Cost:240.27532738320872
353, Current Cost:270.1656022734962, Best Cost:240.27532738320872
354, Current Cost:270.16560227349623, Best Cost:240.27532738320872
355, Current Cost:247.60378451014972, Best Cost:240.27532738320872
356, Current Cost:240.27532738320872, Best Cost:240.27532738320872
357, Current Cost:240.27532738320872, Best Cost:240.27532738320872
358, Current Cost:247.60378451014972, Best Cost:240.27532738320872
359, Current Cost:247.60378451014972, Best Cost:240.27532738320872
360, Current Cost:247.60378451014972, Best Cost:240.27532738320872
361, Current Cost:240.27532738320872, Best Cost:240.27532738320872
362, Current Cost:240.27532738320872, Best Cost:240.27532738320872
363, Current Cost:270.16560227349623, Best Cost:240.27532738320872
364, Current Cost:247.60378451014972, Best Cost:240.27532738320872
365, Current Cost:270.16560227349623, Best Cost:240.27532738320872
366, Current Cost:270.16560227349623, Best Cost:240.27532738320872
367, Current Cost:247.60378451014972, Best Cost:240.27532738320872
368, Current Cost:270.1656022734962, Best Cost:240.27532738320872
369, Current Cost:270.1656022734962, Best Cost:240.27532738320872
